dataset,length,rules,intervals,rule len,occurrence,use,mean coverage,rules,intervals,rule len,occurrence,use,mean coverage
gps_track,17175,2129,9287,352.73,4.36,2.56,190.40,2853,11065,353.21,3.88,2.10,227.13
dutch_pd,35039,1885,29976,758.27,15.90,3.48,644.71,1295,31197,760.78,24.09,3.71,671.14
ecg0606,2299,128,1642,125.26,9.02,3.19,87.75,165,1823,126.24,11.05,3.10,97.66
stdb_308,5400,341,4349,307.04,12.75,3.25,244.24,264,4628,311.16,17.53,3.01,260.66
chfdbchf15,15000,609,13279,310.91,21.80,3.64,269.45,399,13681,315.32,34.29,3.83,277.86
mitdbx_108,21600,1141,18540,308.29,16.25,3.59,260.53,784,19362,311.48,24.70,3.77,272.40
ecg300,536976,8438,503549,319.43,59.68,5.68,287.14,5001,507028,322.45,101.39,7.58,287.41
ecg318,586086,7132,561259,330.80,78.70,4.94,294.53,4222,567851,341.87,134.50,5.98,296.28
nprs43,18019,1557,12476,131.18,8.01,3.85,90.10,1278,12771,131.38,9.99,4.36,92.18
nprs44,24125,2030,17148,131.42,8.45,3.88,92.56,1613,17389,131.62,10.78,4.49,93.80
TEK14,4999,372,3889,133.39,10.45,3.58,101.73,328,4094,136.81,12.48,3.37,107.76
TEK16,4999,385,3863,133.14,10.03,3.42,101.01,337,4087,136.78,12.13,3.26,107.61
TEK17,4999,369,3876,133.28,10.50,3.53,101.39,319,4122,137.45,12.92,3.32,108.63
Video,11251,688,9255,135.62,13.45,3.36,108.20,547,9949,137.67,18.19,3.31,116.68
Winding,2499,296,1082,122.96,3.66,2.45,52.91,499,1624,123.38,3.25,1.88,79.66
Insect,18667,1272,15095,133.58,11.87,3.68,105.96,915,15512,134.44,16.95,4.21,108.83